epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.798,0.96951,3.08799,1.2401,0.58137,0.73736,0.75844,0.54069,1.06528,1.58,1.35056,0.00333005,0.00333005,0.00333005
2,265.633,0.63317,1.28887,1.02381,0.97103,0.94629,0.98799,0.92207,0.32258,0.55108,1.09828,0.00653145,0.00653145,0.00653145
3,385.812,0.63933,1.10779,1.01975,0.87386,0.87751,0.96834,0.75468,0.82523,1.01463,1.43719,0.00960085,0.00960085,0.00960085
4,504.802,0.59849,1.03521,1.00649,0.97995,0.95879,0.99338,0.92276,0.36748,0.47957,1.16083,0.009406,0.009406,0.009406
5,623.408,0.54049,0.94657,0.98949,0.97511,0.97361,0.99321,0.88996,0.44543,0.51241,1.20406,0.009208,0.009208,0.009208
6,742.173,0.50198,0.88851,0.97811,0.97733,0.94465,0.99186,0.84503,0.55301,0.55646,1.2921,0.00901,0.00901,0.00901
7,860.426,0.47748,0.85041,0.97338,0.9785,0.95522,0.99334,0.96033,0.20233,0.3509,1.08925,0.008812,0.008812,0.008812
8,979.504,0.45897,0.82268,0.96866,0.99109,0.98736,0.99477,0.98382,0.1862,0.25399,1.07155,0.008614,0.008614,0.008614
9,1097.67,0.44414,0.79126,0.9639,0.98992,0.98558,0.99462,0.97517,0.16567,0.26904,1.07845,0.008416,0.008416,0.008416
10,1216.27,0.4299,0.77548,0.95972,0.99423,0.99024,0.99472,0.9889,0.13955,0.21697,1.05859,0.008218,0.008218,0.008218
11,1335.15,0.42121,0.76037,0.9586,0.99167,0.98263,0.99488,0.99213,0.11918,0.21292,1.05353,0.00802,0.00802,0.00802
12,1453.28,0.40629,0.74206,0.9539,0.99475,0.99593,0.99498,0.98687,0.14066,0.1424,1.06135,0.007822,0.007822,0.007822
13,1572.01,0.39875,0.73289,0.95399,0.99379,0.98357,0.99481,0.98802,0.12635,0.1754,1.05839,0.007624,0.007624,0.007624
14,1691.81,0.39344,0.71702,0.95247,0.92537,0.95061,0.97806,0.94264,0.29307,0.42797,1.10765,0.007426,0.007426,0.007426
15,1810.42,0.38882,0.71309,0.95003,0.98311,0.97149,0.99358,0.97591,0.16413,0.22422,1.07423,0.007228,0.007228,0.007228
16,1928.72,0.38486,0.7042,0.94914,0.98902,0.98027,0.99452,0.97907,0.12172,0.21559,1.06974,0.00703,0.00703,0.00703
17,2047.44,0.37464,0.69597,0.9465,0.98212,0.97849,0.99442,0.99245,0.10506,0.17618,1.05159,0.006832,0.006832,0.006832
18,2165.9,0.37024,0.68754,0.94719,0.99143,0.98888,0.99482,0.99419,0.09222,0.13986,1.04583,0.006634,0.006634,0.006634
19,2283.94,0.36297,0.67673,0.94522,0.93685,0.96987,0.98912,0.98419,0.14207,0.32769,1.05444,0.006436,0.006436,0.006436
20,2402.54,0.3568,0.67063,0.94108,0.99666,0.99772,0.995,0.99417,0.0777,0.11857,1.04719,0.006238,0.006238,0.006238
21,2521.44,0.35497,0.66697,0.94269,0.97243,0.98296,0.99328,0.98815,0.15516,0.21595,1.05994,0.00604,0.00604,0.00604
22,2639.73,0.34886,0.66209,0.94084,0.99389,0.99082,0.99492,0.99361,0.08236,0.13808,1.04689,0.005842,0.005842,0.005842
23,2757.82,0.34447,0.656,0.9401,0.99029,0.99418,0.99497,0.99277,0.08578,0.13412,1.04938,0.005644,0.005644,0.005644
24,2875.98,0.33975,0.64751,0.93913,0.97922,0.99439,0.99407,0.9935,0.07346,0.13988,1.04472,0.005446,0.005446,0.005446
25,2994.28,0.3379,0.64627,0.93752,0.9966,0.99726,0.99499,0.99387,0.08142,0.10311,1.04665,0.005248,0.005248,0.005248
26,3112.58,0.334,0.64141,0.93718,0.99765,0.99508,0.99498,0.99487,0.06833,0.09503,1.04379,0.00505,0.00505,0.00505
27,3230.59,0.33175,0.64101,0.93827,0.99648,0.99854,0.99496,0.9941,0.05483,0.07714,1.04439,0.004852,0.004852,0.004852
28,3348.99,0.32574,0.63208,0.93528,0.99753,0.9989,0.99498,0.99474,0.07681,0.09407,1.04484,0.004654,0.004654,0.004654
29,3467.41,0.32368,0.62542,0.9361,0.99555,0.99742,0.99494,0.99454,0.07873,0.09436,1.04454,0.004456,0.004456,0.004456
30,3585.97,0.31847,0.6274,0.93422,0.99635,0.99688,0.99499,0.99476,0.09424,0.0973,1.04495,0.004258,0.004258,0.004258
31,3704.97,0.31394,0.62116,0.93201,0.99904,0.99948,0.995,0.995,0.05846,0.07031,1.04299,0.00406,0.00406,0.00406
32,3823.18,0.31016,0.62219,0.93248,0.99889,0.99847,0.995,0.995,0.05466,0.07315,1.04276,0.003862,0.003862,0.003862
33,3941.7,0.30833,0.61554,0.93198,0.99453,0.99901,0.99497,0.99488,0.05374,0.0947,1.04332,0.003664,0.003664,0.003664
34,4060.88,0.30471,0.61313,0.93128,0.99461,0.99871,0.99494,0.99492,0.05799,0.09316,1.04338,0.003466,0.003466,0.003466
35,4179.11,0.29976,0.60124,0.93105,0.99554,0.99924,0.99499,0.99499,0.05822,0.09239,1.04284,0.003268,0.003268,0.003268
36,4298.65,0.29385,0.60392,0.92956,0.99284,0.99682,0.99494,0.99488,0.05669,0.09752,1.04335,0.00307,0.00307,0.00307
37,4417.3,0.29353,0.59287,0.92873,0.97265,0.99021,0.993,0.99164,0.06027,0.15018,1.04452,0.002872,0.002872,0.002872
38,4536.02,0.28963,0.59142,0.92816,0.99087,0.99539,0.99488,0.99479,0.05643,0.08997,1.0429,0.002674,0.002674,0.002674
39,4655.02,0.28396,0.58436,0.9262,0.99345,0.99559,0.99493,0.9947,0.05696,0.08043,1.04255,0.002476,0.002476,0.002476
40,4773.54,0.28359,0.58398,0.92665,0.99655,0.99703,0.99499,0.99492,0.04808,0.07136,1.04198,0.002278,0.002278,0.002278
41,4909.32,0.06963,0.08842,0.90593,0.99972,0.99998,0.995,0.995,0.05815,0.06121,1.04224,0.00208,0.00208,0.00208
42,5027.84,0.05127,0.06288,0.89983,0.99978,1,0.995,0.995,0.05435,0.05554,1.04235,0.001882,0.001882,0.001882
43,5146.11,0.04655,0.05916,0.89807,0.99972,1,0.995,0.995,0.05198,0.05082,1.04223,0.001684,0.001684,0.001684
