epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5424,1.76721,3.01541,1.99622,0.25085,0.13291,0.14366,0.03113,2.21438,3.4287,3.50199,0.067825,0.000325,0.000325
2,20.3099,1.58098,1.81262,1.78113,0.80185,0.49367,0.52167,0.15135,2.21813,2.53372,3.60557,0.0348185,0.000651816,0.000651816
3,28.9624,1.59689,1.64288,1.76499,0.46312,0.45315,0.38167,0.16259,1.70435,2.38279,2.0714,0.00180537,0.000972032,0.000972032
4,37.493,1.54013,1.57319,1.72846,0.93272,0.46835,0.59942,0.38166,1.64888,1.90892,2.02284,0.0009703,0.0009703,0.0009703
5,46.0144,1.5028,1.50958,1.71,0.99798,0.52532,0.62738,0.37211,1.73697,1.92814,2.10807,0.0009604,0.0009604,0.0009604
6,54.559,1.47965,1.43015,1.68857,0.85411,0.55063,0.62684,0.42716,1.55829,1.76843,1.99662,0.0009505,0.0009505,0.0009505
7,63.1169,1.45316,1.48222,1.69538,0.89794,0.5443,0.65658,0.41744,1.64244,1.74373,2.07681,0.0009406,0.0009406,0.0009406
8,71.6262,1.4322,1.41491,1.66189,0.89419,0.5,0.62039,0.37256,1.73511,2.03481,2.13816,0.0009307,0.0009307,0.0009307
9,80.1644,1.42265,1.35934,1.64796,0.96825,0.52532,0.66217,0.38266,1.62417,2.04528,2.06261,0.0009208,0.0009208,0.0009208
10,88.7216,1.4219,1.34056,1.62806,0.91007,0.55696,0.66507,0.45389,1.54292,1.79008,1.87403,0.0009109,0.0009109,0.0009109
11,97.2744,1.38604,1.33952,1.62538,0.97702,0.53825,0.65735,0.43195,1.61627,1.62486,2.03636,0.000901,0.000901,0.000901
12,105.782,1.40467,1.33848,1.62716,0.93544,0.55025,0.67558,0.46153,1.57134,1.54728,1.94419,0.0008911,0.0008911,0.0008911
13,114.257,1.3972,1.29859,1.61466,0.98594,0.53797,0.66948,0.47524,1.48744,1.55425,1.88927,0.0008812,0.0008812,0.0008812
14,122.743,1.32693,1.25218,1.58227,0.99173,0.52532,0.61266,0.42564,1.49209,1.87989,1.93968,0.0008713,0.0008713,0.0008713
15,131.159,1.38507,1.35024,1.61975,0.94577,0.55193,0.6704,0.38757,1.75939,1.67763,2.15005,0.0008614,0.0008614,0.0008614
16,139.693,1.35394,1.26742,1.59178,0.77257,0.51602,0.6326,0.4253,1.5126,1.62317,1.9307,0.0008515,0.0008515,0.0008515
17,148.259,1.31184,1.21456,1.56119,0.99601,0.52532,0.66751,0.44965,1.50973,1.61395,1.85899,0.0008416,0.0008416,0.0008416
18,156.686,1.27644,1.17067,1.5526,0.99271,0.52532,0.64109,0.42986,1.52014,1.758,1.97128,0.0008317,0.0008317,0.0008317
19,165.271,1.30532,1.20777,1.55307,0.99871,0.52532,0.6835,0.48391,1.46593,1.55544,1.74142,0.0008218,0.0008218,0.0008218
20,173.752,1.27696,1.19788,1.53989,0.86239,0.59494,0.67974,0.47351,1.52505,1.49473,1.94735,0.0008119,0.0008119,0.0008119
21,182.308,1.32986,1.24994,1.57115,0.95183,0.55063,0.68593,0.47898,1.42353,1.52214,1.83936,0.000802,0.000802,0.000802
22,190.795,1.29455,1.24047,1.55502,0.88202,0.56781,0.67463,0.46936,1.54731,1.54787,2.01825,0.0007921,0.0007921,0.0007921
23,199.33,1.27798,1.19556,1.55403,0.88599,0.56962,0.68816,0.49046,1.42932,1.48932,1.80596,0.0007822,0.0007822,0.0007822
24,207.887,1.27256,1.15627,1.53179,0.93991,0.55696,0.70051,0.45132,1.53469,1.50982,1.94112,0.0007723,0.0007723,0.0007723
25,216.518,1.29057,1.17069,1.53864,0.87857,0.59531,0.68008,0.49116,1.41463,1.54458,1.81509,0.0007624,0.0007624,0.0007624
26,225.066,1.27285,1.18094,1.53084,0.91967,0.57595,0.69456,0.48197,1.41796,1.49692,1.78876,0.0007525,0.0007525,0.0007525
27,233.576,1.25093,1.15041,1.53775,0.9462,0.55657,0.68344,0.47434,1.43212,1.44106,1.8521,0.0007426,0.0007426,0.0007426
28,242.311,1.27811,1.17051,1.54328,0.91366,0.56329,0.69144,0.47437,1.48652,1.46271,1.87575,0.0007327,0.0007327,0.0007327
29,250.869,1.27465,1.14273,1.53839,0.90834,0.58228,0.69233,0.46594,1.48299,1.45929,1.89144,0.0007228,0.0007228,0.0007228
30,259.474,1.27428,1.16614,1.54024,0.97158,0.52532,0.68053,0.48003,1.44187,1.52529,1.87159,0.0007129,0.0007129,0.0007129
31,268.081,1.24739,1.13729,1.52746,1,0.53104,0.67788,0.49147,1.45429,1.48453,1.81981,0.000703,0.000703,0.000703
32,276.597,1.19541,1.09223,1.48342,0.8824,0.59494,0.69332,0.50071,1.37106,1.46041,1.80593,0.0006931,0.0006931,0.0006931
33,285.088,1.23359,1.12309,1.50125,0.84407,0.60127,0.68925,0.49734,1.38997,1.47121,1.79678,0.0006832,0.0006832,0.0006832
34,293.567,1.21363,1.0866,1.52352,0.91996,0.582,0.68863,0.49128,1.47621,1.51542,1.91894,0.0006733,0.0006733,0.0006733
35,301.979,1.23016,1.1238,1.50109,0.87348,0.56807,0.68614,0.47537,1.5103,1.43719,1.96709,0.0006634,0.0006634,0.0006634
36,310.6,1.21528,1.08989,1.48939,0.95664,0.55696,0.68296,0.48986,1.43396,1.44096,1.84412,0.0006535,0.0006535,0.0006535
37,319.069,1.17852,1.08544,1.48407,0.85259,0.58569,0.67934,0.47703,1.5078,1.49893,1.92734,0.0006436,0.0006436,0.0006436
38,327.504,1.18773,1.08569,1.48914,0.86686,0.61392,0.70549,0.50656,1.39048,1.38901,1.77177,0.0006337,0.0006337,0.0006337
39,335.999,1.22737,1.13599,1.49328,0.83757,0.59494,0.68513,0.49804,1.4002,1.41894,1.79951,0.0006238,0.0006238,0.0006238
40,344.488,1.15142,1.03547,1.47065,0.87302,0.62658,0.70716,0.49373,1.42375,1.41393,1.85379,0.0006139,0.0006139,0.0006139
41,352.92,1.16318,1.0677,1.46642,0.93113,0.55063,0.68146,0.49929,1.43179,1.46908,1.82591,0.000604,0.000604,0.000604
42,361.456,1.15801,1.04367,1.46121,0.9769,0.53532,0.685,0.49505,1.44361,1.44265,1.80809,0.0005941,0.0005941,0.0005941
43,370.133,1.15,1.04453,1.43694,0.96988,0.53797,0.68131,0.51376,1.38202,1.41914,1.80594,0.0005842,0.0005842,0.0005842
44,378.877,1.19424,1.06125,1.48018,0.79691,0.6209,0.69086,0.50182,1.42258,1.43268,1.80892,0.0005743,0.0005743,0.0005743
45,387.421,1.1594,1.0144,1.47259,0.98507,0.53797,0.69355,0.49978,1.43555,1.46563,1.84302,0.0005644,0.0005644,0.0005644
46,396.092,1.17483,1.05853,1.46738,0.88549,0.57595,0.70446,0.49587,1.44148,1.42779,1.84586,0.0005545,0.0005545,0.0005545
47,404.634,1.13479,0.99204,1.44356,0.91826,0.56962,0.69756,0.51745,1.38379,1.39245,1.79009,0.0005446,0.0005446,0.0005446
48,413.238,1.17983,1.04884,1.4591,0.76727,0.63924,0.69746,0.51166,1.38694,1.40078,1.76979,0.0005347,0.0005347,0.0005347
49,421.75,1.16635,1.04286,1.48116,0.9944,0.53797,0.68083,0.50731,1.35311,1.46209,1.75071,0.0005248,0.0005248,0.0005248
50,430.232,1.11041,0.97619,1.43061,0.9917,0.53797,0.68516,0.50758,1.38643,1.40573,1.74585,0.0005149,0.0005149,0.0005149
51,438.749,1.13416,1.0033,1.44025,0.98516,0.53165,0.6881,0.50607,1.38065,1.40233,1.7404,0.000505,0.000505,0.000505
52,447.327,1.12417,1.00228,1.42404,0.85068,0.61392,0.70571,0.5065,1.38642,1.42958,1.7911,0.0004951,0.0004951,0.0004951
53,455.925,1.15474,1.01777,1.45371,0.87701,0.58673,0.70111,0.49661,1.4672,1.38784,1.88076,0.0004852,0.0004852,0.0004852
54,464.426,1.14145,1.01706,1.45019,0.9462,0.55662,0.69982,0.52269,1.3724,1.39653,1.80605,0.0004753,0.0004753,0.0004753
55,472.904,1.13435,1.01676,1.43765,0.984,0.5443,0.69608,0.5185,1.39026,1.41224,1.79571,0.0004654,0.0004654,0.0004654
56,481.384,1.10705,0.97791,1.43169,1,0.53755,0.69737,0.51528,1.3957,1.3895,1.82534,0.0004555,0.0004555,0.0004555
