epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.931,0.15168,2.24701,1.01556,0.00019,0.1,0.01722,0.01304,1.28974,5.39676,1.76673,0.0670162,0.000333169,0.000333169
2,887.68,0.11362,2.44773,0.97665,0.07818,0.84767,0.11335,0.10724,0.39031,3.96946,0.57167,0.0340096,0.000659904,0.000659904
3,1304.77,0.10025,2.27331,0.96402,0.0209,0.9,0.09488,0.04042,1.25971,4.41202,1.69074,0.000996443,0.000980039,0.000980039
4,1717.85,0.09387,1.97974,0.96218,0.09981,1,0.12279,0.1191,0.19179,2.27928,0.27649,0.0009703,0.0009703,0.0009703
5,2130.79,0.08407,1.89003,0.95545,0.09738,1,0.11924,0.11778,0.2165,2.59798,0.31647,0.0009604,0.0009604,0.0009604
6,2543.94,0.06976,1.84906,0.94783,0.06999,0.69988,0.08372,0.08339,0.16077,3.2647,0.29215,0.0009505,0.0009505,0.0009505
7,2957.92,0.05915,1.74933,0.93879,0.04289,0.79939,0.11382,0.08354,0.22147,3.18705,0.27941,0.0009406,0.0009406,0.0009406
8,3370.81,0.05559,1.80134,0.93723,0.10097,0.99963,0.13952,0.13952,0.18895,3.0447,0.26868,0.0009307,0.0009307,0.0009307
9,3783.92,0.06682,1.79443,0.94681,0.09424,0.77015,0.11225,0.11146,0.24217,2.76137,0.32371,0.0009208,0.0009208,0.0009208
10,4197.4,0.07657,1.74055,0.94735,0.08,0.8,0.14102,0.13718,0.22649,2.77858,0.32757,0.0009109,0.0009109,0.0009109
11,4610.98,0.07254,1.67995,0.95445,0.10264,0.98047,0.12066,0.11774,0.3195,2.26874,0.4383,0.000901,0.000901,0.000901
12,5024.22,0.07726,1.62765,0.95809,0.10012,0.94337,0.11439,0.10468,0.31425,2.54952,0.42081,0.0008911,0.0008911,0.0008911
13,5437.84,0.06845,1.5732,0.94578,0.1,1,0.12053,0.11493,0.2955,2.11891,0.42401,0.0008812,0.0008812,0.0008812
14,5852.94,0.05907,1.52778,0.94014,0.1,1,0.1223,0.11575,0.29135,2.20862,0.41867,0.0008713,0.0008713,0.0008713
15,6268.76,0.06173,1.55514,0.94065,0.1,1,0.12309,0.11669,0.29924,1.78054,0.41503,0.0008614,0.0008614,0.0008614
16,6685.67,0.0559,1.65248,0.93649,0.07571,0.94682,0.10472,0.08265,0.74141,2.20055,1.20667,0.0008515,0.0008515,0.0008515
17,7100.13,0.0547,1.60899,0.93721,0.1,1,0.11651,0.11651,0.23515,1.751,0.37008,0.0008416,0.0008416,0.0008416
18,7514.83,0.05113,1.60047,0.93467,0.09995,1,0.12548,0.12545,0.26253,1.74311,0.40233,0.0008317,0.0008317,0.0008317
19,7929.45,0.06794,1.5552,0.94631,0.1,1,0.12875,0.12873,0.3325,1.77056,0.4789,0.0008218,0.0008218,0.0008218
20,8344.25,0.05446,1.65915,0.93731,0.1,1,0.12374,0.12359,0.13584,1.78248,0.21242,0.0008119,0.0008119,0.0008119
21,8757.88,0.0559,1.66412,0.93379,0.1,1,0.12294,0.12294,0.09662,1.79747,0.16686,0.000802,0.000802,0.000802
22,9172.44,0.04967,1.60424,0.9345,0.1,1,0.11879,0.11879,0.09586,1.79242,0.16315,0.0007921,0.0007921,0.0007921
23,9587.06,0.04427,1.51813,0.93276,0.1,1,0.12607,0.12607,0.05863,1.91947,0.12467,0.0007822,0.0007822,0.0007822
