epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.336,1.94409,3.50601,2.36649,0.00546,0.52532,0.44789,0.11688,1.95686,3.47198,3.09412,0.067825,0.000325,0.000325
2,20.2799,1.59201,1.94211,2.0286,0.95273,0.51024,0.54422,0.15302,2.21776,2.3093,3.60425,0.0348217,0.000655075,0.000655075
3,28.9721,1.57336,1.8102,1.97135,0.99582,0.52532,0.63123,0.34959,1.75519,2.0719,2.34598,0.00181518,0.000981849,0.000981849
4,37.4986,1.52034,1.66954,1.92696,0.90674,0.5,0.59597,0.16437,2.40621,2.12331,3.82846,0.00098515,0.00098515,0.00098515
5,46.0029,1.48172,1.58186,1.90604,0.98818,0.52919,0.66218,0.31827,1.86133,1.86763,2.46651,0.0009802,0.0009802,0.0009802
6,54.4279,1.47711,1.58163,1.8966,0.84596,0.59091,0.6803,0.46781,1.51565,1.60756,1.91395,0.00097525,0.00097525,0.00097525
7,63.0118,1.42457,1.50232,1.8844,0.99457,0.52532,0.67086,0.45834,1.51682,1.57514,2.03196,0.0009703,0.0009703,0.0009703
8,71.476,1.41258,1.46859,1.83748,0.99837,0.52532,0.67002,0.47034,1.45072,1.58789,1.86799,0.00096535,0.00096535,0.00096535
9,80.0382,1.42018,1.42731,1.84983,0.93317,0.53797,0.66502,0.40277,1.67481,1.76193,2.16702,0.0009604,0.0009604,0.0009604
10,88.5297,1.46069,1.4562,1.85265,0.87098,0.59819,0.68689,0.47849,1.44886,1.66956,1.85992,0.00095545,0.00095545,0.00095545
11,97.0929,1.3595,1.36196,1.80463,0.9758,0.55063,0.6776,0.4526,1.52788,1.62282,2.00698,0.0009505,0.0009505,0.0009505
12,105.613,1.3607,1.39584,1.80902,0.87475,0.57595,0.68377,0.45975,1.51455,1.54247,1.95165,0.00094555,0.00094555,0.00094555
13,114.098,1.37387,1.38638,1.81526,0.99564,0.52532,0.68135,0.47696,1.4556,1.49427,1.88666,0.0009406,0.0009406,0.0009406
14,122.623,1.32668,1.3365,1.79538,0.93684,0.56329,0.6741,0.42864,1.60314,1.53945,2.06489,0.00093565,0.00093565,0.00093565
15,131.045,1.31848,1.30315,1.76262,0.99731,0.52532,0.67846,0.40798,1.70055,1.58183,2.22521,0.0009307,0.0009307,0.0009307
16,139.477,1.31744,1.30033,1.77368,0.89434,0.58927,0.69713,0.44084,1.55854,1.52631,2.01793,0.00092575,0.00092575,0.00092575
17,147.994,1.26617,1.23621,1.74095,0.91776,0.55063,0.69709,0.49306,1.44941,1.45719,1.86753,0.0009208,0.0009208,0.0009208
18,156.569,1.31385,1.25414,1.75975,0.9463,0.5577,0.69331,0.48349,1.45641,1.44886,1.88063,0.00091585,0.00091585,0.00091585
19,165.103,1.31996,1.27439,1.75012,0.91982,0.58085,0.70326,0.47486,1.50481,1.45442,1.97476,0.0009109,0.0009109,0.0009109
20,173.65,1.27728,1.26253,1.71975,0.86999,0.58228,0.69803,0.47206,1.51227,1.42979,1.94493,0.00090595,0.00090595,0.00090595
21,182.192,1.28339,1.21781,1.74076,1,0.55653,0.69888,0.43627,1.60067,1.49441,2.07726,0.000901,0.000901,0.000901
22,190.709,1.28044,1.23,1.7745,0.89354,0.56962,0.69101,0.49592,1.40832,1.51532,1.86658,0.00089605,0.00089605,0.00089605
23,199.383,1.28766,1.21484,1.76028,0.38248,0.27848,0.22683,0.12941,1.83053,4.01208,2.26577,0.0008911,0.0008911,0.0008911
24,207.862,1.25241,1.25406,1.7254,0.94782,0.57482,0.69842,0.50817,1.41904,1.53281,1.82775,0.00088615,0.00088615,0.00088615
25,216.367,1.27262,1.238,1.74143,0.85303,0.58775,0.69123,0.5055,1.37856,1.43787,1.8125,0.0008812,0.0008812,0.0008812
26,224.828,1.25481,1.20057,1.72874,1,0.53732,0.70885,0.51203,1.37616,1.35294,1.79706,0.00087625,0.00087625,0.00087625
27,233.358,1.24911,1.22203,1.7263,1,0.53157,0.69082,0.48045,1.46987,1.42489,1.88866,0.0008713,0.0008713,0.0008713
28,241.793,1.25537,1.18855,1.74095,1,0.53585,0.68943,0.39805,1.74535,1.48033,2.35904,0.00086635,0.00086635,0.00086635
29,250.135,1.28858,1.22453,1.74916,0.9979,0.52532,0.69633,0.48449,1.46789,1.38934,1.89409,0.0008614,0.0008614,0.0008614
30,258.626,1.22409,1.19988,1.70769,0.90329,0.57595,0.7066,0.51213,1.42697,1.35168,1.82986,0.00085645,0.00085645,0.00085645
31,267.163,1.21574,1.12221,1.67699,0.80727,0.60759,0.70937,0.48305,1.51787,1.41962,1.98243,0.0008515,0.0008515,0.0008515
32,275.666,1.2112,1.12008,1.70912,0.99933,0.5443,0.68144,0.46961,1.60259,1.40632,2.08658,0.00084655,0.00084655,0.00084655
33,284.375,1.19334,1.15745,1.68661,0.96691,0.55486,0.70038,0.50328,1.4116,1.40466,1.8072,0.0008416,0.0008416,0.0008416
34,292.813,1.17565,1.12969,1.66758,0.93047,0.55696,0.69038,0.50801,1.41919,1.36766,1.83136,0.00083665,0.00083665,0.00083665
35,301.281,1.18821,1.11209,1.70354,0.93073,0.56329,0.69576,0.51504,1.38302,1.37063,1.78374,0.0008317,0.0008317,0.0008317
36,309.666,1.15603,1.1001,1.66205,0.87669,0.59494,0.70035,0.48748,1.49408,1.50068,1.95166,0.00082675,0.00082675,0.00082675
37,318.055,1.15563,1.06443,1.65241,0.99622,0.53797,0.69755,0.50902,1.40052,1.40306,1.84757,0.0008218,0.0008218,0.0008218
38,326.535,1.19665,1.10043,1.67622,0.85656,0.58228,0.70271,0.50487,1.48338,1.37155,1.91575,0.00081685,0.00081685,0.00081685
39,334.924,1.16878,1.08004,1.65297,0.98201,0.53165,0.69376,0.48995,1.49675,1.40343,1.9282,0.0008119,0.0008119,0.0008119
40,343.441,1.14937,1.01232,1.6729,0.83327,0.58861,0.68691,0.47085,1.55403,1.42849,2.02474,0.00080695,0.00080695,0.00080695
41,351.934,1.20127,1.02871,1.66043,0.99712,0.52532,0.6921,0.4847,1.44343,1.39761,1.87841,0.000802,0.000802,0.000802
42,360.374,1.17963,1.06645,1.67044,0.89891,0.5628,0.70393,0.51367,1.42373,1.35664,1.84329,0.00079705,0.00079705,0.00079705
43,368.823,1.13845,1.01411,1.63662,0.82324,0.61903,0.70588,0.51375,1.42912,1.39003,1.88289,0.0007921,0.0007921,0.0007921
44,377.33,1.11345,1.05483,1.6223,0.99704,0.52532,0.68735,0.47657,1.53107,1.37231,2.01189,0.00078715,0.00078715,0.00078715
45,385.733,1.13865,0.99928,1.64089,0.98591,0.5443,0.67652,0.43569,1.72016,1.48933,2.29267,0.0007822,0.0007822,0.0007822
46,394.218,1.1161,1.00403,1.62059,0.93226,0.55696,0.69886,0.49939,1.45667,1.34392,1.87672,0.00077725,0.00077725,0.00077725
47,402.733,1.13149,1.02396,1.61984,0.98833,0.53622,0.70348,0.4801,1.49632,1.35587,1.97395,0.0007723,0.0007723,0.0007723
48,411.173,1.10082,0.97517,1.62621,0.99515,0.53165,0.69212,0.50107,1.45065,1.37739,1.93057,0.00076735,0.00076735,0.00076735
49,419.636,1.13684,1.01381,1.62683,0.96624,0.54349,0.69224,0.50432,1.49433,1.36856,1.95381,0.0007624,0.0007624,0.0007624
50,428.096,1.11083,0.9819,1.61541,0.96649,0.54757,0.70106,0.50819,1.43672,1.40286,1.88276,0.00075745,0.00075745,0.00075745
51,436.689,1.08558,0.95804,1.60781,0.99736,0.53165,0.68734,0.52066,1.3996,1.35068,1.86071,0.0007525,0.0007525,0.0007525
52,445.196,1.09635,0.95547,1.61597,0.90942,0.55696,0.69444,0.51739,1.43735,1.36332,1.89878,0.00074755,0.00074755,0.00074755
53,453.623,1.08465,0.93908,1.59587,0.97753,0.5507,0.69047,0.51426,1.46006,1.38481,1.95927,0.0007426,0.0007426,0.0007426
54,462.042,1.06459,0.93144,1.58265,0.99672,0.53165,0.71152,0.5308,1.37165,1.31081,1.89178,0.00073765,0.00073765,0.00073765
55,470.516,1.079,0.95146,1.59981,0.96816,0.55063,0.69664,0.51,1.46037,1.37098,1.98272,0.0007327,0.0007327,0.0007327
56,478.984,1.08698,0.92509,1.58112,0.89009,0.58861,0.71358,0.46639,1.61773,1.3532,2.08584,0.00072775,0.00072775,0.00072775
57,487.467,1.07953,0.90656,1.59488,0.97901,0.5443,0.70441,0.49766,1.50234,1.35597,2.05031,0.0007228,0.0007228,0.0007228
58,495.984,1.06505,0.90501,1.58643,0.9935,0.53165,0.69545,0.51519,1.46956,1.39132,1.96509,0.00071785,0.00071785,0.00071785
