epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.8345,0.74593,2.91622,1.40928,0.43026,0.5577,0.40816,0.36331,0.48202,2.76645,0.6818,0.000237201,0.000237201,0.000237201
2,189.711,0.38606,1.83523,1.11361,0.67914,0.78608,0.83762,0.79346,0.30905,1.50739,0.60076,0.000465792,0.000465792,0.000465792
3,276.803,0.34202,1.47152,1.07347,0.88193,0.90058,0.98156,0.9589,0.29141,0.90019,0.43987,0.000684959,0.000684959,0.000684959
4,363.334,0.33188,1.31676,1.07315,0.91384,0.85788,0.98813,0.98313,0.29956,0.77158,0.42537,0.000671588,0.000671588,0.000671588
5,449.758,0.29879,1.20602,1.04754,0.9548,0.92028,0.99169,0.97821,0.29261,0.60898,0.45981,0.000657451,0.000657451,0.000657451
6,536.247,0.28193,1.12844,1.03414,0.97732,0.99076,0.9937,0.98955,0.23798,0.46043,0.40388,0.000643314,0.000643314,0.000643314
7,622.856,0.25563,1.06299,1.0184,0.98469,0.983,0.99198,0.98647,0.32604,0.48093,0.44112,0.000629177,0.000629177,0.000629177
8,709.949,0.24388,1.02534,1.01171,0.97916,0.99696,0.99451,0.97865,0.28617,0.45875,0.39089,0.00061504,0.00061504,0.00061504
9,796.392,0.23741,1.00707,1.01018,0.98236,0.9785,0.99335,0.98874,0.30132,0.51457,0.41435,0.000600902,0.000600902,0.000600902
10,883.131,0.22596,0.96828,1.00419,0.9775,0.98095,0.99212,0.98193,0.30187,0.49203,0.42838,0.000586765,0.000586765,0.000586765
11,969.553,0.21567,0.95941,0.99835,0.99485,0.99395,0.995,0.99363,0.21795,0.42717,0.32289,0.000572628,0.000572628,0.000572628
12,1055.98,0.20353,0.91955,0.98415,0.99179,0.99054,0.99494,0.96925,0.32819,0.48283,0.46013,0.000558491,0.000558491,0.000558491
13,1142.71,0.20261,0.90849,0.98573,0.9936,0.99058,0.99494,0.99286,0.25075,0.38175,0.34835,0.000544354,0.000544354,0.000544354
14,1229.22,0.19537,0.89097,0.98109,0.97359,0.97927,0.99217,0.82777,0.65896,0.7692,0.87693,0.000530216,0.000530216,0.000530216
15,1315.76,0.18699,0.87591,0.97553,0.99141,0.98568,0.99484,0.99029,0.27105,0.43289,0.36188,0.000516079,0.000516079,0.000516079
16,1402.33,0.18182,0.87186,0.97328,0.99396,0.99016,0.99464,0.99146,0.23766,0.42901,0.32207,0.000501942,0.000501942,0.000501942
17,1488.87,0.18051,0.85116,0.972,0.9951,0.99353,0.99499,0.99304,0.25036,0.32808,0.33719,0.000487805,0.000487805,0.000487805
18,1575.5,0.17237,0.83921,0.96524,0.99377,0.99692,0.99497,0.99344,0.2416,0.36541,0.32351,0.000473668,0.000473668,0.000473668
19,1662.1,0.16446,0.83821,0.96335,0.99411,0.99724,0.9949,0.99366,0.24526,0.39342,0.34342,0.00045953,0.00045953,0.00045953
20,1748.65,0.16136,0.82533,0.95731,0.99318,0.99712,0.99427,0.9449,0.3791,0.6034,0.41593,0.000445393,0.000445393,0.000445393
21,1835.05,0.15554,0.8172,0.95367,0.99374,0.9981,0.99492,0.99385,0.27632,0.49349,0.36142,0.000431256,0.000431256,0.000431256
22,1921.5,0.15869,0.81037,0.9558,0.99733,0.99721,0.995,0.99431,0.2551,0.3714,0.33628,0.000417119,0.000417119,0.000417119
23,2008.01,0.15252,0.80208,0.9535,0.99763,0.9979,0.995,0.995,0.22782,0.38531,0.30348,0.000402982,0.000402982,0.000402982
24,2094.29,0.146,0.80391,0.95129,0.99614,0.99798,0.995,0.99499,0.23996,0.39257,0.32747,0.000388844,0.000388844,0.000388844
25,2181.01,0.14399,0.78177,0.95073,0.9948,0.9982,0.99498,0.9911,0.28858,0.41303,0.36969,0.000374707,0.000374707,0.000374707
26,2267.8,0.15012,0.78698,0.95459,0.99537,0.99563,0.995,0.99488,0.23841,0.36655,0.31372,0.00036057,0.00036057,0.00036057
27,2354.42,0.13789,0.76789,0.94597,0.99648,0.99939,0.99474,0.99086,0.24208,0.33902,0.33191,0.000346433,0.000346433,0.000346433
28,2440.79,0.13889,0.77422,0.94974,0.99791,0.99866,0.995,0.99474,0.25436,0.37836,0.35096,0.000332296,0.000332296,0.000332296
29,2528.58,0.14016,0.76466,0.94871,0.99363,0.99863,0.99499,0.9949,0.23193,0.35288,0.32521,0.000318158,0.000318158,0.000318158
30,2616.53,0.13305,0.76564,0.94697,0.99832,0.99761,0.995,0.995,0.21688,0.37012,0.29566,0.000304021,0.000304021,0.000304021
31,2709.16,0.12694,0.73547,0.93878,0.99502,0.99803,0.99447,0.99391,0.25742,0.41591,0.35431,0.000289884,0.000289884,0.000289884
32,2797.63,0.12773,0.75317,0.94164,0.99747,0.99736,0.995,0.99418,0.22279,0.34296,0.29653,0.000275747,0.000275747,0.000275747
33,2887.34,0.12019,0.73277,0.93331,0.99778,0.99666,0.995,0.99388,0.26607,0.40067,0.35135,0.00026161,0.00026161,0.00026161
34,2976.55,0.1208,0.73282,0.93729,0.99487,0.99569,0.99498,0.99485,0.19704,0.32994,0.27566,0.000247472,0.000247472,0.000247472
35,3065.33,0.11545,0.72578,0.93497,0.99758,0.9986,0.99499,0.99499,0.21971,0.36184,0.29257,0.000233335,0.000233335,0.000233335
36,3155.93,0.11109,0.72261,0.93284,0.99797,0.99932,0.995,0.99499,0.24553,0.39018,0.32806,0.000219198,0.000219198,0.000219198
37,3246.27,0.11257,0.73604,0.93286,0.99886,0.99848,0.995,0.995,0.23952,0.35823,0.32111,0.000205061,0.000205061,0.000205061
38,3340.08,0.11422,0.71658,0.93633,0.99756,0.99755,0.995,0.99491,0.23953,0.37117,0.32519,0.000190924,0.000190924,0.000190924
39,3434.39,0.11135,0.70734,0.92783,0.99904,0.99884,0.995,0.995,0.21666,0.2989,0.30068,0.000176786,0.000176786,0.000176786
40,3522.21,0.11012,0.6972,0.93079,0.99911,0.99937,0.995,0.995,0.21871,0.3306,0.29723,0.000162649,0.000162649,0.000162649
41,3626.14,0.04726,0.10991,0.91265,0.9992,0.99889,0.995,0.995,0.2183,0.41013,0.30337,0.000148512,0.000148512,0.000148512
42,3712.61,0.03128,0.06422,0.90299,0.99934,0.99789,0.995,0.995,0.17928,0.34147,0.24764,0.000134375,0.000134375,0.000134375
43,3799.03,0.02969,0.0555,0.89961,0.99882,0.99852,0.995,0.995,0.16709,0.39625,0.22643,0.000120238,0.000120238,0.000120238
44,3885.22,0.0264,0.05133,0.89875,0.99874,0.99935,0.995,0.995,0.17894,0.38626,0.24197,0.0001061,0.0001061,0.0001061
45,3971.02,0.02445,0.0474,0.89919,0.99937,0.99935,0.995,0.995,0.2013,0.41986,0.27226,9.19632e-05,9.19632e-05,9.19632e-05
46,4057.02,0.02218,0.04429,0.89966,0.99882,0.99847,0.995,0.995,0.21889,0.48296,0.30382,7.7826e-05,7.7826e-05,7.7826e-05
47,4142.78,0.02122,0.04118,0.90164,0.9988,0.99935,0.995,0.995,0.21577,0.47093,0.29989,6.36888e-05,6.36888e-05,6.36888e-05
48,4228.53,0.02015,0.04113,0.90328,0.99879,0.99935,0.995,0.995,0.2192,0.46766,0.30408,4.95516e-05,4.95516e-05,4.95516e-05
49,4314.64,0.01931,0.03859,0.90151,0.9988,0.99935,0.995,0.995,0.21726,0.47303,0.30157,3.54144e-05,3.54144e-05,3.54144e-05
50,4400.74,0.01848,0.03787,0.90167,0.99881,0.99936,0.995,0.995,0.21784,0.47632,0.30211,2.12772e-05,2.12772e-05,2.12772e-05
